,SOQL Query
972,"SELECT FirstName,LeadSource FROM Contact ORDER BY Name DESC"
973,"SELECT IsActive,JobFamily__c FROM User ORDER BY LastName DESC"
974,"SELECT MobilePhone,State FROM Lead ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
975,"SELECT Status,CaseNumber FROM Case ORDER BY ClosedDate"
976,"SELECT FiscalQuarter,NextStep FROM Opportunity ORDER BY Name NULLS LAST"
977,"SELECT Description,ContactId,Description FROM Asset"
978,"SELECT ShippingCountry,AccountId FROM Order GROUP BY Type"
979,"SELECT Phone,Description FROM Lead GROUP BY Rating"
980,"SELECT LastName,Status FROM Lead ORDER BY Name NULLS LAST"
981,"SELECT Status,BillingCountry FROM Order ORDER BY TotalAmount"
982,"SELECT Price,SerialNumber FROM Asset ORDER BY Name NULLS LAST"
983,"SELECT BillingCountry,AccountId FROM Order GROUP BY Type"
984,"SELECT UserRoleId,MiddleName FROM User GROUP BY Country"
985,"SELECT LastName,Id FROM Lead ORDER BY LastName DESC"
986,"SELECT State,Rating FROM Lead ORDER BY Rating DESC"
987,"SELECT Ownership,Name FROM Account ORDER BY AnnualRevenue DESC"
988,"SELECT MiddleName,MobilePhone FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
989,"SELECT Id,Company FROM Lead ORDER BY LastName NULLS LAST"
990,"SELECT MobilePhone,Country FROM Lead ORDER BY Name NULLS LAST"
991,"SELECT Id,Quantity FROM Asset ORDER BY SerialNumber"
992,"SELECT LeadSource,Department FROM Contact ORDER BY LeadSource"
993,"SELECT Name,Type FROM Opportunity GROUP BY Type"
994,"SELECT BillingCity,Type FROM Account ORDER BY AnnualRevenue DESC"
995,"SELECT Id,Country FROM User ORDER BY Name DESC"
996,"SELECT MiddleName,MobilePhone FROM Lead GROUP BY Rating"
997,"SELECT Company,State FROM Lead ORDER BY LastName NULLS LAST"
998,"SELECT Email,NumberOfEmployees FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
999,"SELECT MobilePhone,Email FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
1000,"SELECT EndDate,Description FROM Order ORDER BY Name"
1001,"SELECT AccountId,EmployeeNumber FROM User GROUP BY City"
1002,"SELECT Business_Unit__c,Username FROM User GROUP BY Department"
1003,"SELECT Rating,Country FROM Lead ORDER BY LastName"
1004,"SELECT Description,SerialNumber FROM Asset ORDER BY Quantity NULLS LAST"
1005,"SELECT OrderedDate,Id FROM Order ORDER BY OrderedDate DESC NULLS LAST"
1006,"SELECT BillingCountry,Phone,BillingCountry FROM Account"
1007,"SELECT Author.Name,DeveloperName,Author.Name FROM Document"
1008,"SELECT MobilePhone,Country FROM Lead ORDER BY LeadSource DESC"
1009,"SELECT LastName,FirstName FROM Contact ORDER BY LastName DESC NULLS LAST"
1010,"SELECT Division,MiddleName FROM User"
1011,"SELECT LeadSource,StageName FROM Opportunity ORDER BY LeadSource NULLS LAST"
1012,SELECT Quantity FROM Asset GROUP BY Status
1013,"SELECT Comments,IsEscalated FROM Case ORDER BY ClosedDate NULLS LAST"
1014,"SELECT org62_Chatter_Link__c,Division FROM User ORDER BY FirstName"
1015,"SELECT IsConverted,NumberOfEmployees FROM Lead ORDER BY LastName"
1016,"SELECT LastName,Username FROM User GROUP BY Business_Unit__c"
1017,"SELECT Phone,Company FROM Lead ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1018,"SELECT Type,Website FROM Account ORDER BY NumberOfEmployees NULLS LAST"
1019,"SELECT Description,Price FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1020,"SELECT FirstName,Country FROM Lead ORDER BY LastName DESC"
1021,"SELECT Id,AccountId FROM Order GROUP BY BillingCountry"
1022,"SELECT MiddleName,Description FROM Contact ORDER BY LeadSource NULLS LAST"
1023,"SELECT OrderedDate,Status FROM Order ORDER BY TotalAmount NULLS LAST"
1024,"SELECT ShippingCountry,Description FROM Order ORDER BY OrderedDate DESC"
1025,"SELECT Id,BillingCountry FROM Order ORDER BY TotalAmount DESC NULLS LAST LIMIT 1"
1026,"SELECT Phone,Company FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
1027,"SELECT Ownership,Id FROM Account ORDER BY NumberOfEmployees DESC"
1028,SELECT Id FROM Document
1029,"SELECT Rating,FirstName FROM Lead ORDER BY LeadSource NULLS LAST"
1030,SELECT ShippingCountry FROM Order GROUP BY Type
1031,"SELECT Id,Quantity FROM Asset ORDER BY SerialNumber NULLS LAST"
1032,"SELECT GrandTotalAmount,Status FROM Order ORDER BY Name DESC"
1033,"SELECT State,JobFamily__c FROM User ORDER BY Department DESC NULLS LAST"
1034,"SELECT AccountId,AboutMe FROM User ORDER BY FirstName DESC NULLS LAST"
1035,"SELECT Industry,AccountNumber FROM Account ORDER BY AnnualRevenue DESC"
1036,"SELECT JobProfile__c,Email FROM User ORDER BY Name DESC NULLS LAST"
1037,SELECT IsActive FROM User GROUP BY City
1038,"SELECT IsActive,JobFamily__c FROM User ORDER BY FirstName"
1039,"SELECT Name,Phone FROM Contact ORDER BY LastName DESC NULLS LAST"
1040,"SELECT FirstName,EmployeeNumber FROM User ORDER BY FirstName DESC NULLS LAST"
1041,"SELECT AccountId,Amount FROM Opportunity ORDER BY Name DESC"
1042,"SELECT Name,Website FROM Account GROUP BY BillingCountry"
1043,"SELECT LeadSource,Email FROM Contact ORDER BY LeadSource"
1044,"SELECT Name,BillingCity FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
1045,"SELECT Status,Quantity FROM Asset ORDER BY Name NULLS LAST"
1046,"SELECT org62_Chatter_Link__c,Country FROM User GROUP BY Business_Unit__c"
1047,"SELECT BillingCountry,OwnerId FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
1048,"SELECT LeadSource,HasOpenActivity FROM Opportunity ORDER BY Name NULLS LAST"
1049,"SELECT Ownership,BillingCountry,Ownership FROM Account"
1050,SELECT Name FROM Order
1051,"SELECT Name,Type FROM Opportunity ORDER BY Name"
1052,"SELECT Name,OwnerId FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1053,SELECT Description FROM Lead GROUP BY Country
1054,"SELECT Id,OwnerId FROM Opportunity GROUP BY Type"
1055,"SELECT Rating,Country FROM Lead ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1056,"SELECT AccountId,LastName FROM Contact ORDER BY Name DESC NULLS LAST"
1057,"SELECT Company,Name,Company FROM Lead"
1058,"SELECT State,MobilePhone FROM Lead ORDER BY LeadSource"
1059,"SELECT Status,Country FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
1060,"SELECT AccountId,LeadSource FROM Contact ORDER BY LeadSource DESC"
1061,"SELECT Quantity,AccountId FROM Asset"
1062,"SELECT Type,Id FROM Document ORDER BY Name DESC"
1063,"SELECT LastName,Rating FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1064,"SELECT MobilePhone,Country FROM Lead GROUP BY State"
1065,SELECT Id FROM Account GROUP BY BillingCity
1066,"SELECT GrandTotalAmount,BillingState FROM Order ORDER BY TotalAmount DESC"
1067,"SELECT Company,LastName FROM Lead ORDER BY LastName"
1068,SELECT City FROM Lead GROUP BY Country
1069,"SELECT Name,Type FROM Opportunity ORDER BY Name NULLS LAST"
1070,"SELECT BillingCountry,AccountId FROM Order GROUP BY BillingCity"
1071,"SELECT LastName,MiddleName FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1072,"SELECT State,Rating FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1073,"SELECT Status,Quantity FROM Asset ORDER BY SerialNumber DESC"
1074,"SELECT ClosedDate,IsEscalated FROM Case ORDER BY ClosedDate DESC"
1075,"SELECT Country,EmployeeNumber FROM User ORDER BY Name DESC NULLS LAST"
1076,"SELECT BillingPostalCode,AccountNumber FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1077,"SELECT OwnerId,ContactId FROM Opportunity ORDER BY Name"
1078,"SELECT State,JobFamily__c FROM User"
1079,"SELECT Department,IsPersonAccount FROM Contact ORDER BY Department DESC NULLS LAST"
1080,"SELECT Status,Description FROM Order ORDER BY OrderedDate NULLS LAST"
1081,"SELECT State,UserType FROM User ORDER BY Name DESC"
1082,"SELECT FirstName,Department FROM Contact ORDER BY LeadSource DESC NULLS LAST"
1083,"SELECT Probability,OwnerId FROM Opportunity ORDER BY Name DESC NULLS LAST"
1084,"SELECT Email,Company FROM Lead ORDER BY Rating NULLS LAST"
1085,SELECT Company FROM Lead GROUP BY Status
1086,"SELECT BillingCountry,AnnualRevenue FROM Account ORDER BY AnnualRevenue"
1087,"SELECT SerialNumber,Status FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1088,"SELECT BillingCity,Description FROM Account ORDER BY Name NULLS LAST"
1089,"SELECT BillingPhoneNumber,ShippingState FROM Order ORDER BY TotalAmount NULLS LAST"
1090,"SELECT FirstName,Country FROM Lead GROUP BY Rating"
1091,"SELECT OwnerId,EndDate FROM Order ORDER BY TotalAmount DESC NULLS LAST LIMIT 1"
1092,"SELECT IsConverted,Id FROM Lead ORDER BY LastName DESC NULLS LAST"
1093,"SELECT AccountId,TotalAmount FROM Order GROUP BY BillingCity"
1094,"SELECT Username,EmployeeNumber FROM User GROUP BY City"
1095,"SELECT AccountId,LeadSource FROM Contact ORDER BY FirstName"
1096,"SELECT Price,AssetLevel FROM Asset ORDER BY Price DESC"
1097,"SELECT Id,Description FROM Contact ORDER BY FirstName"
1098,"SELECT EndDate,Name FROM Order ORDER BY Name"
1099,"SELECT GrandTotalAmount,BillingState FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
1100,"SELECT Website,Name FROM Account ORDER BY Name DESC"
1101,"SELECT JobProfile__c,Title FROM User"
1102,"SELECT Department,EmployeeNumber FROM User ORDER BY Name NULLS LAST"
1103,SELECT Business_Unit__c FROM User GROUP BY Department
1104,"SELECT BillingCountry,AccountId FROM Order ORDER BY TotalAmount DESC"
1105,"SELECT ShippingCountry,Name FROM Order ORDER BY TotalAmount DESC NULLS LAST"
1106,"SELECT Name,IsClosed FROM Opportunity ORDER BY Amount"
1107,"SELECT Name,Price FROM Asset ORDER BY SerialNumber NULLS LAST"
1108,"SELECT Id,Rating FROM Lead ORDER BY LastName"
1109,"SELECT Rating,FirstName FROM Lead ORDER BY AnnualRevenue DESC"
1110,"SELECT Description,FirstName FROM Contact ORDER BY LeadSource"
1111,"SELECT JobProfile__c,Title FROM User GROUP BY Business_Unit__c"
1112,"SELECT SerialNumber,AssetLevel FROM Asset ORDER BY Name DESC"
1113,"SELECT AccountId,Amount FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1114,"SELECT Company,Id FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
1115,"SELECT MobilePhone,State FROM Lead GROUP BY State"
1116,"SELECT Email,Business_Unit__c FROM User GROUP BY Division"
1117,"SELECT Description,SerialNumber FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1118,"SELECT BillingCountry,Name FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
1119,"SELECT LeadSource,Id FROM Contact ORDER BY Department NULLS LAST"
1120,"SELECT LastName,Status FROM Lead ORDER BY LastName"
1121,"SELECT OwnerId,EndDate FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST LIMIT 1"
1122,"SELECT SerialNumber,Quantity FROM Asset ORDER BY Price NULLS LAST"
1123,"SELECT Business_Unit__c,Region__c FROM User ORDER BY FirstName DESC"
1124,"SELECT BillingCity,Name FROM Account ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1125,"SELECT Id,Description FROM Contact ORDER BY FirstName NULLS LAST"
1126,"SELECT GrandTotalAmount,Status FROM Order ORDER BY TotalAmount NULLS LAST"
1127,"SELECT FirstName,Country FROM Lead ORDER BY LastName"
1128,"SELECT org62_Chatter_Link__c,Country FROM User GROUP BY Department"
1129,"SELECT Id,AccountId FROM Order ORDER BY TotalAmount NULLS LAST"
1130,SELECT Phone FROM Contact GROUP BY Department
1131,"SELECT Department,Phone FROM Contact ORDER BY Name DESC NULLS LAST"
1132,"SELECT IsConverted,NumberOfEmployees FROM Lead ORDER BY LastName DESC"
1133,SELECT AccountId FROM Opportunity GROUP BY Type
1134,SELECT BillingPhoneNumber FROM Order GROUP BY Type
1135,"SELECT Description,AssetLevel FROM Asset"
1136,"SELECT LeadSource,ContactId FROM Opportunity ORDER BY Amount DESC"
1137,"SELECT Phone,Ownership FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
1138,"SELECT Email,Business_Unit__c FROM User GROUP BY State"
1139,"SELECT Type,Id FROM Document ORDER BY Name NULLS LAST"
1140,"SELECT AnnualRevenue,Id FROM Account ORDER BY Name DESC"
1141,"SELECT Department,IsPersonAccount FROM Contact ORDER BY Department NULLS LAST"
1142,"SELECT AboutMe,Department FROM User ORDER BY FirstName DESC NULLS LAST"
1143,"SELECT IsConverted,FirstName FROM Lead ORDER BY LeadSource DESC NULLS LAST"
1144,"SELECT AnnualRevenue,Company FROM Lead ORDER BY LeadSource"
1145,"SELECT Quantity,AccountId FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
1146,"SELECT AuthorId,Type FROM Document ORDER BY Name DESC NULLS LAST"
1147,"SELECT DeveloperName,Author.Name FROM Document ORDER BY Name"
1148,"SELECT AccountId,Name FROM Contact ORDER BY Department"
1149,"SELECT AccountId,EmployeeNumber FROM User"
1150,"SELECT BillingCity,AnnualRevenue FROM Account GROUP BY BillingCountry"
1151,"SELECT IsConverted,NumberOfEmployees FROM Lead ORDER BY AnnualRevenue NULLS LAST"
1152,"SELECT BillingCity,Description FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
1153,"SELECT ShippingCountry,Name FROM Order ORDER BY TotalAmount DESC NULLS LAST LIMIT 1"
1154,"SELECT Business_Unit__c,Name FROM User"
1155,"SELECT LastName,MiddleName FROM Lead GROUP BY Rating"
1156,"SELECT Type,ContactPhone FROM Case ORDER BY ClosedDate DESC"
1157,SELECT Region__c FROM User GROUP BY Department
1158,"SELECT ContactId,Quantity FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1159,"SELECT Phone,Description FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
1160,"SELECT AccountId,Description FROM Opportunity ORDER BY Probability DESC"
1161,"SELECT Description,Price FROM Asset ORDER BY Quantity NULLS LAST LIMIT 1"
1162,SELECT Division FROM User GROUP BY City
1163,"SELECT State,Rating FROM Lead ORDER BY Name DESC NULLS LAST"
1164,"SELECT BillingCountry,AccountId FROM Order GROUP BY BillingState"
1165,"SELECT Name,BillingCity FROM Order GROUP BY BillingCountry"
1166,"SELECT HasOpenActivity,Description FROM Opportunity ORDER BY Name"
1167,"SELECT BillingPhoneNumber,Id FROM Order ORDER BY GrandTotalAmount DESC"
1168,"SELECT Name,Id FROM Contact ORDER BY Name DESC NULLS LAST"
1169,"SELECT OwnerId,Amount FROM Opportunity ORDER BY LeadSource DESC NULLS LAST"
1170,"SELECT Description,AccountId,Description FROM Order"
1171,"SELECT Name,BillingCity FROM Order ORDER BY OrderedDate DESC"
1172,"SELECT MobilePhone,Email FROM Lead ORDER BY LeadSource DESC NULLS LAST"
1173,"SELECT Rating,Country FROM Lead GROUP BY City"
1174,"SELECT LastName,Name FROM Contact ORDER BY Department DESC"
1175,SELECT EmployeeNumber FROM User GROUP BY Country
1176,"SELECT AuthorId,Type FROM Document GROUP BY Type"
1177,"SELECT Description,AssetLevel FROM Asset ORDER BY Name"
1178,"SELECT Company,State FROM Lead ORDER BY LastName DESC NULLS LAST"
1179,"SELECT Status,Description FROM Asset ORDER BY Price"
1180,"SELECT Id,Description FROM Contact ORDER BY Department"
1181,SELECT TotalAmount FROM Order GROUP BY BillingCity
1182,"SELECT AnnualRevenue,Company FROM Lead ORDER BY FirstName DESC"
1183,"SELECT FirstName,LeadSource FROM Contact ORDER BY Department NULLS LAST"
1184,"SELECT UserRoleId,MiddleName FROM User ORDER BY FirstName DESC NULLS LAST"
1185,"SELECT Status,AccountId FROM Asset ORDER BY Name NULLS LAST"
1186,"SELECT ShippingCountry,Name FROM Order GROUP BY BillingCity"
1187,"SELECT IsConverted,MobilePhone FROM Lead ORDER BY Name"
1188,"SELECT State,Rating FROM Lead ORDER BY Rating DESC NULLS LAST"
1189,"SELECT Id,Description FROM Contact ORDER BY LastName DESC"
1190,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY Name"
1191,"SELECT Probability,FiscalYear FROM Opportunity ORDER BY LeadSource DESC"
1192,"SELECT ContentType,Id FROM Document ORDER BY Name DESC NULLS LAST"
1193,"SELECT Country,MiddleName FROM Lead ORDER BY NumberOfEmployees DESC"
1194,"SELECT Rating,State FROM Lead ORDER BY LeadSource DESC NULLS LAST"
1195,"SELECT Email,Division FROM User ORDER BY Name DESC"
1196,"SELECT Name,ShippingCity FROM Order ORDER BY GrandTotalAmount NULLS LAST"
1197,SELECT count(id) FROM User GROUP BY City
1198,"SELECT Name,MiddleName FROM Lead GROUP BY IsConverted"
1199,"SELECT org62_Chatter_Link__c,IsActive FROM User ORDER BY LastName DESC"
1200,"SELECT Id,AccountId FROM Order ORDER BY GrandTotalAmount DESC"
1201,"SELECT FirstName,Rating FROM Lead ORDER BY LastName DESC NULLS LAST"
1202,"SELECT Country,MiddleName FROM Lead ORDER BY LastName NULLS LAST"
1203,"SELECT Name,Phone FROM Contact ORDER BY LeadSource DESC NULLS LAST"
1204,"SELECT Department,Phone FROM Contact ORDER BY LastName DESC"
1205,"SELECT Business_Unit__c,Username FROM User ORDER BY Name DESC NULLS LAST"
1206,"SELECT LeadSource,Id FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1207,"SELECT IsClosed,OwnerId FROM Opportunity GROUP BY Type"
1208,SELECT OrderedDate FROM Order GROUP BY BillingState
1209,"SELECT Type,Author.Name FROM Document ORDER BY Name"
1210,"SELECT LastName,Rating FROM Lead ORDER BY Name DESC NULLS LAST"
1211,"SELECT SerialNumber,Id FROM Asset ORDER BY Name NULLS LAST"
1212,"SELECT NumberOfEmployees,Description FROM Account ORDER BY AnnualRevenue NULLS LAST"
1213,"SELECT BillingPhoneNumber,Id FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
1214,"SELECT Department,Phone FROM Contact ORDER BY Department DESC NULLS LAST"
1215,"SELECT Quantity,ContactId FROM Asset ORDER BY Quantity DESC NULLS LAST LIMIT 1"
1216,"SELECT BillingPostalCode,AccountNumber FROM Account ORDER BY NumberOfEmployees NULLS LAST"
1217,SELECT Type FROM Order GROUP BY BillingCity
1218,"SELECT LeadSource,Id FROM Lead ORDER BY AnnualRevenue NULLS LAST"
1219,"SELECT Description,OwnerId FROM Opportunity ORDER BY Probability NULLS LAST LIMIT 1"
1220,"SELECT Amount,Id FROM Opportunity ORDER BY Probability DESC"
1221,"SELECT AccountId,LeadSource FROM Contact ORDER BY FirstName NULLS LAST"
1222,"SELECT IsClosed,FiscalQuarter FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
1223,"SELECT AccountId,OwnerId FROM Case GROUP BY Status"
1224,"SELECT BillingCity,ShippingState FROM Order ORDER BY Name NULLS LAST"
1225,SELECT MobilePhone FROM Lead GROUP BY Status
1226,"SELECT LastName,Username FROM User ORDER BY Department NULLS LAST"
1227,"SELECT FiscalQuarter,Probability,FiscalQuarter FROM Opportunity"
1228,"SELECT OwnerId,Origin FROM Case GROUP BY Status"
1229,"SELECT Name,MiddleName FROM Lead ORDER BY NumberOfEmployees DESC"
1230,"SELECT BillingCity,AnnualRevenue FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1231,"SELECT Description,Keywords FROM Document ORDER BY Name DESC NULLS LAST"
1232,"SELECT BillingCity,Type,BillingCity FROM Account"
1233,"SELECT Id,Status FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1234,"SELECT BillingStreet,Industry FROM Account ORDER BY Name NULLS LAST"
1235,"SELECT AccountId,Division FROM User ORDER BY LastName DESC"
1236,"SELECT ContactId,Name FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1237,"SELECT NextStep,OwnerId FROM Opportunity ORDER BY LeadSource DESC"
1238,"SELECT Description,BillingPhoneNumber FROM Order ORDER BY TotalAmount"
1239,"SELECT FirstName,Country FROM Lead ORDER BY NumberOfEmployees"
1240,"SELECT Name,BillingStreet FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
1241,"SELECT Id,FirstName FROM Contact ORDER BY Department DESC NULLS LAST"
1242,"SELECT EndDate,Description FROM Order ORDER BY Name DESC NULLS LAST"
1243,"SELECT Price,SerialNumber FROM Asset ORDER BY Quantity DESC"
1244,"SELECT Probability,LeadSource FROM Opportunity ORDER BY Name DESC NULLS LAST"
1245,"SELECT ContactId,HasOpenActivity FROM Opportunity ORDER BY Probability DESC"
1246,"SELECT HasOpenActivity,Description FROM Opportunity ORDER BY Probability"
1247,"SELECT Description,Status FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1248,"SELECT LastName,Rating FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
1249,SELECT count(id) FROM Order GROUP BY Type
1250,"SELECT Name,Phone FROM Contact ORDER BY FirstName NULLS LAST"
1251,"SELECT Name,OwnerId FROM Opportunity ORDER BY Name NULLS LAST"
1252,"SELECT Description,BillingPhoneNumber FROM Order GROUP BY BillingCountry"
1253,"SELECT Phone,BillingState FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
1254,"SELECT AccountId,Id FROM Asset ORDER BY Name DESC"
1255,"SELECT AnnualRevenue,Company FROM Lead ORDER BY AnnualRevenue DESC"
1256,"SELECT AssetLevel,Name FROM Asset ORDER BY SerialNumber NULLS LAST"
1257,"SELECT Phone,Company FROM Lead ORDER BY Rating DESC NULLS LAST"
1258,"SELECT ShippingCountry,AccountId FROM Order GROUP BY BillingCountry"
1259,"SELECT Rating,Country FROM Lead ORDER BY LastName DESC NULLS LAST"
1260,"SELECT BillingCountry,TotalAmount FROM Order ORDER BY TotalAmount DESC NULLS LAST"
1261,SELECT Description FROM Order GROUP BY Status
1262,"SELECT Status,OwnerId FROM Order ORDER BY OrderedDate DESC NULLS LAST"
1263,"SELECT AccountId,Description FROM Asset"
1264,"SELECT Description,ContactId FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
1265,"SELECT AnnualRevenue,Company FROM Lead ORDER BY LastName DESC"
1266,"SELECT Id,Quantity FROM Asset ORDER BY SerialNumber DESC"
1267,"SELECT Phone,Website FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
1268,"SELECT Email,MiddleName FROM Contact ORDER BY LeadSource NULLS LAST"
1269,"SELECT Email,Description FROM Contact ORDER BY Department DESC NULLS LAST"
1270,"SELECT UserRoleId,MiddleName FROM User GROUP BY City"
1271,"SELECT Id,Country FROM User ORDER BY FirstName DESC"
1272,"SELECT AnnualRevenue,Company FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1273,"SELECT Department,Id FROM Contact ORDER BY LeadSource NULLS LAST"
1274,"SELECT IsClosed,Description,IsClosed FROM Case"
1275,"SELECT Id,HasOpenActivity,Id FROM Opportunity"
1276,"SELECT AccountId,Division FROM User ORDER BY FirstName"
1277,"SELECT AboutMe,FirstName FROM User GROUP BY JobFamily__c"
1278,"SELECT IsPersonAccount,BillingPostalCode FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1279,"SELECT FirstName,Department FROM Contact GROUP BY Department"
1280,"SELECT LastName,MiddleName FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1281,"SELECT IsPersonAccount,Ownership FROM Account ORDER BY Name DESC NULLS LAST"
1282,SELECT OwnerId FROM Opportunity GROUP BY Type
1283,"SELECT Email,Description FROM Contact ORDER BY LastName DESC NULLS LAST"
1284,"SELECT Type,Website FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1285,"SELECT BillingCity,BillingPostalCode FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
1286,"SELECT OwnerId,Description FROM Case GROUP BY Status"
1287,"SELECT ContactId,Name FROM Opportunity ORDER BY Amount"
1288,"SELECT BillingCountry,BillingCity FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
1289,"SELECT IsConverted,NumberOfEmployees FROM Lead ORDER BY LeadSource"
1290,SELECT ShippingState FROM Order
1291,"SELECT Description,FirstName FROM Contact GROUP BY Department"
1292,"SELECT Email,Rating FROM Lead ORDER BY LastName DESC"
1293,"SELECT Status,SerialNumber FROM Asset"
1294,"SELECT Name,LeadSource FROM Contact ORDER BY LastName DESC NULLS LAST"
1295,"SELECT Id,Name FROM Asset ORDER BY SerialNumber"
1296,"SELECT Quantity,Status FROM Asset GROUP BY Status"
1297,"SELECT ContactId,Id FROM Opportunity ORDER BY Name DESC NULLS LAST"
1298,"SELECT State,JobFamily__c FROM User GROUP BY Division"
1299,"SELECT Amount,Id FROM Opportunity ORDER BY LeadSource"
1300,"SELECT org62_Chatter_Link__c,Country FROM User ORDER BY LastName"
1301,"SELECT MobilePhone,Country FROM Lead ORDER BY LeadSource NULLS LAST"
1302,"SELECT HasOpenActivity,ContactId FROM Opportunity ORDER BY LeadSource DESC"
1303,"SELECT BillingPostalCode,BillingState FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
1304,"SELECT Id,Name FROM User ORDER BY LastName DESC NULLS LAST"
1305,"SELECT OwnerId,Amount FROM Opportunity GROUP BY Type"
1306,"SELECT FirstName,EmployeeNumber FROM User ORDER BY Department DESC"
1307,"SELECT IsClosed,Description FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
1308,SELECT ContactId FROM Case GROUP BY Status
1309,"SELECT Price,AssetLevel FROM Asset ORDER BY Quantity NULLS LAST"
1310,"SELECT FirstName,EmployeeNumber FROM User GROUP BY State"
1311,"SELECT SerialNumber,Status FROM Asset ORDER BY Quantity"
1312,"SELECT Description,Status FROM Asset ORDER BY Price DESC"
1313,SELECT ShippingState FROM Order GROUP BY BillingCountry
1314,"SELECT AccountId,Description FROM Opportunity ORDER BY Probability"
1315,"SELECT AnnualRevenue,Id FROM Account GROUP BY BillingCountry"
1316,"SELECT Description,Price FROM Asset"
1317,"SELECT OwnerId,Origin FROM Case ORDER BY ClosedDate NULLS LAST"
1318,"SELECT AccountId,GrandTotalAmount FROM Order GROUP BY BillingCity"
1319,"SELECT Id,Description FROM Contact ORDER BY FirstName DESC NULLS LAST"
1320,SELECT JobProfile__c FROM User GROUP BY JobProfile__c
1321,"SELECT MiddleName,Description FROM Contact"
1322,"SELECT Name,FirstName FROM User ORDER BY FirstName DESC NULLS LAST"
1323,"SELECT Description,AuthorId,Description FROM Document"
1324,"SELECT AccountId,LastName FROM Contact ORDER BY LastName NULLS LAST"
1325,SELECT Country FROM User GROUP BY JobProfile__c
1326,"SELECT AnnualRevenue,Company FROM Lead ORDER BY Name DESC NULLS LAST"
1327,"SELECT Status,Company FROM Lead ORDER BY LeadSource DESC NULLS LAST"
1328,"SELECT BillingPhoneNumber,Id FROM Order ORDER BY TotalAmount DESC"
1329,"SELECT AccountId,Id FROM Asset ORDER BY Name"
1330,"SELECT Name,FirstName FROM User ORDER BY FirstName NULLS LAST"
1331,"SELECT Id,Status FROM Asset ORDER BY Quantity DESC"
1332,"SELECT Email,Division FROM User GROUP BY Country"
1333,"SELECT JobProfile__c,CompanyName FROM User ORDER BY Name DESC NULLS LAST"
1334,"SELECT Id,Company FROM Lead ORDER BY LastName DESC"
1335,"SELECT Amount,Id FROM Opportunity"
