,SOQL Query
1471,"SELECT AssetLevel,Status FROM Asset ORDER BY Name NULLS LAST"
1472,"SELECT Division,Email FROM User ORDER BY Name"
1473,"SELECT BillingCountry,AccountNumber FROM Account ORDER BY Name DESC"
1474,"SELECT ContactId,AccountId FROM Asset ORDER BY Price DESC NULLS LAST"
1475,"SELECT LeadSource,Phone FROM Contact ORDER BY LastName DESC NULLS LAST"
1476,"SELECT IsPersonAccount,Department FROM Contact ORDER BY Department NULLS LAST"
1477,"SELECT GrandTotalAmount,BillingState FROM Order ORDER BY OrderedDate NULLS LAST"
1478,"SELECT Company,MobilePhone FROM Lead ORDER BY Rating NULLS LAST"
1479,"SELECT Description,StageName,Description FROM Opportunity"
1480,"SELECT EndDate,Description FROM Order ORDER BY Name NULLS LAST"
1481,"SELECT NextStep,OwnerId FROM Opportunity ORDER BY Name DESC NULLS LAST"
1482,"SELECT FirstName,Name FROM Contact ORDER BY LeadSource"
1483,"SELECT Author.Name,Id FROM Document ORDER BY Name DESC"
1484,"SELECT AccountNumber,BillingStreet FROM Account ORDER BY AnnualRevenue NULLS LAST"
1485,"SELECT Id,State FROM Lead ORDER BY LastName NULLS LAST"
1486,"SELECT EndDate,Name FROM Order GROUP BY BillingState"
1487,"SELECT Company,LastName FROM Lead ORDER BY LeadSource"
1488,"SELECT MiddleName,Email FROM Contact ORDER BY LastName"
1489,"SELECT OwnerId,GrandTotalAmount FROM Order GROUP BY BillingCountry"
1490,"SELECT FirstName,Country FROM Lead ORDER BY AnnualRevenue NULLS LAST"
1491,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY Amount NULLS LAST"
1492,"SELECT AboutMe,UserRoleId FROM User GROUP BY Business_Unit__c"
1493,SELECT GrandTotalAmount FROM Order GROUP BY BillingCity
1494,"SELECT AccountNumber,BillingStreet FROM Account ORDER BY NumberOfEmployees"
1495,"SELECT Ownership,Type FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
1496,"SELECT Email,Department FROM Contact ORDER BY Department DESC NULLS LAST"
1497,"SELECT Id,Id FROM Opportunity ORDER BY Probability DESC"
1498,"SELECT IsConverted,LastName FROM Lead ORDER BY Name"
1499,"SELECT Description,IsPublic FROM Document"
1500,"SELECT org62_Chatter_Link__c,CompanyName FROM User ORDER BY Department"
1501,"SELECT Id,Description FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
1502,"SELECT Email,Email FROM Contact ORDER BY Department DESC NULLS LAST"
1503,"SELECT Type,Ownership FROM Account ORDER BY AnnualRevenue DESC"
1504,"SELECT Id,Name FROM Lead ORDER BY Name DESC"
1505,"SELECT Name,AccountId FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
1506,"SELECT GrandTotalAmount,ShippingCountry FROM Order GROUP BY BillingCity"
1507,"SELECT Description,AccountId FROM Order ORDER BY OrderedDate NULLS LAST"
1508,"SELECT ShippingCity,BillingState FROM Order ORDER BY OrderedDate DESC"
1509,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY Name DESC"
1510,"SELECT Comments,IsClosed FROM Case ORDER BY ClosedDate DESC"
1511,"SELECT Description,MobilePhone FROM Lead ORDER BY FirstName"
1512,"SELECT Description,MobilePhone FROM Lead ORDER BY LeadSource"
1513,"SELECT Rating,Status FROM Lead ORDER BY Name DESC NULLS LAST"
1514,"SELECT BillingStreet,Ownership,BillingStreet FROM Account"
1515,"SELECT Id,State FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST"
1516,"SELECT Ownership,AnnualRevenue FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
1517,"SELECT MiddleName,JobFamily__c FROM User"
1518,"SELECT Id,Email FROM Contact ORDER BY LastName DESC NULLS LAST"
1519,"SELECT FirstName,MobilePhone FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
1520,"SELECT Id,Id FROM Asset ORDER BY SerialNumber NULLS LAST"
1521,"SELECT State,MiddleName FROM Lead ORDER BY FirstName DESC"
1522,"SELECT FirstName,Rating FROM Lead ORDER BY LeadSource DESC"
1523,"SELECT Rating,State FROM Lead ORDER BY LastName NULLS LAST"
1524,"SELECT CaseNumber,Description FROM Case GROUP BY Type"
1525,"SELECT Id,MobilePhone FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1526,"SELECT OwnerId,ClosedDate FROM Case"
1527,"SELECT Description,Type FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1528,"SELECT Origin,Type FROM Case ORDER BY ClosedDate NULLS LAST"
1529,"SELECT Id,Type FROM Opportunity ORDER BY LeadSource DESC"
1530,"SELECT MiddleName,IsConverted FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
1531,"SELECT BillingState,AccountId FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST LIMIT 1"
1532,"SELECT ContactId,AccountId FROM Asset ORDER BY SerialNumber DESC"
1533,"SELECT AccountId,Department FROM Contact ORDER BY FirstName NULLS LAST"
1534,"SELECT Id,Name FROM Lead ORDER BY Rating"
1535,"SELECT SerialNumber,Description FROM Asset GROUP BY Status"
1536,SELECT AccountId FROM Order
1537,"SELECT Id,AnnualRevenue FROM Lead ORDER BY LastName NULLS LAST"
1538,"SELECT OwnerId,ContactId FROM Opportunity ORDER BY Probability"
1539,"SELECT Ownership,Type FROM Account ORDER BY AnnualRevenue"
1540,"SELECT LastName,IsConverted FROM Lead ORDER BY LeadSource"
1541,"SELECT IsPersonAccount,Department FROM Contact ORDER BY Name NULLS LAST"
1542,"SELECT Name,Industry FROM Account ORDER BY Name DESC"
1543,"SELECT ShippingState,Description FROM Order GROUP BY BillingState"
1544,"SELECT Rating,State FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1545,SELECT FirstName FROM Lead GROUP BY State
1546,"SELECT Type,Industry FROM Account ORDER BY AnnualRevenue"
1547,"SELECT Status,Description FROM Order ORDER BY TotalAmount"
1548,"SELECT FiscalYear,ContactId FROM Opportunity ORDER BY Probability DESC"
1549,"SELECT NumberOfEmployees,Phone FROM Lead GROUP BY IsConverted"
1550,"SELECT Name,Id FROM Opportunity ORDER BY Probability DESC NULLS LAST"
1551,"SELECT ShippingCity,ShippingCity FROM Order ORDER BY OrderedDate DESC"
1552,"SELECT IsPersonAccount,MiddleName FROM Contact ORDER BY FirstName NULLS LAST"
1553,"SELECT Name,BillingCity FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1554,"SELECT Company,LastName FROM Lead ORDER BY FirstName DESC"
1555,"SELECT Department,Phone FROM Contact"
1556,"SELECT MiddleName,IsConverted FROM Lead GROUP BY Rating"
1557,SELECT OwnerId FROM Case GROUP BY Status
1558,"SELECT AnnualRevenue,Company FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1559,"SELECT HasOpenActivity,HasOpenActivity FROM Opportunity ORDER BY Probability"
1560,"SELECT Description,FirstName FROM Contact ORDER BY LastName DESC NULLS LAST"
1561,"SELECT AccountId,Price FROM Asset GROUP BY AssetLevel"
1562,SELECT Description FROM Contact GROUP BY Department
1563,"SELECT MiddleName,Description FROM Lead ORDER BY Name DESC"
1564,"SELECT Status,ContactId FROM Asset"
1565,SELECT IsClosed FROM Opportunity
1566,"SELECT Name,ContactId FROM Opportunity ORDER BY LeadSource"
1567,"SELECT BillingState,AccountId FROM Order ORDER BY TotalAmount NULLS LAST"
1568,"SELECT OwnerId,ContactPhone,OwnerId FROM Case"
1569,"SELECT Description,MobilePhone FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
1570,"SELECT AccountId,Quantity FROM Asset ORDER BY Quantity NULLS LAST"
1571,"SELECT Ownership,Website FROM Account ORDER BY NumberOfEmployees"
1572,"SELECT OwnerId,FiscalQuarter FROM Opportunity"
1573,"SELECT Id,OrderedDate FROM Order ORDER BY OrderedDate NULLS LAST"
1574,"SELECT Name,AnnualRevenue FROM Lead ORDER BY FirstName"
1575,"SELECT AccountId,OrderedDate FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST LIMIT 1"
1576,"SELECT Quantity,Name,Quantity FROM Asset"
1577,"SELECT Department,Id,Department FROM User"
1578,"SELECT ContactId,ContactId FROM Opportunity ORDER BY LeadSource NULLS LAST"
1579,"SELECT HasOpenActivity,FiscalYear FROM Opportunity"
1580,"SELECT Keywords,Author.Name FROM Document"
1581,"SELECT BillingStreet,Industry,BillingStreet FROM Account"
1582,"SELECT City,org62_Chatter_Link__c FROM User ORDER BY LastName DESC"
1583,"SELECT IsPersonAccount,Department FROM Contact ORDER BY Name"
1584,"SELECT Rating,State FROM Lead ORDER BY FirstName DESC NULLS LAST"
1585,"SELECT Name,AccountId FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1586,"SELECT FirstName,Name FROM Contact ORDER BY Name"
1587,"SELECT IsPersonAccount,LeadSource FROM Contact ORDER BY Department NULLS LAST"
1588,"SELECT Rating,MiddleName FROM Lead GROUP BY Status"
1589,"SELECT Rating,Status FROM Lead ORDER BY LeadSource"
1590,"SELECT CompanyName,JobProfile__c FROM User GROUP BY State"
1591,"SELECT State,IsConverted FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
1592,"SELECT Description,MiddleName FROM Contact ORDER BY LeadSource NULLS LAST"
1593,"SELECT Id,Company FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
1594,"SELECT IsClosed,FiscalQuarter FROM Opportunity"
1595,"SELECT ShippingCity,EndDate FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
1596,"SELECT Name,ShippingCountry FROM Order ORDER BY Name"
1597,"SELECT MiddleName,Description FROM Lead ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1598,"SELECT Region__c,AccountId FROM User GROUP BY Department"
1599,"SELECT HasOpenActivity,StageName FROM Opportunity ORDER BY Probability DESC NULLS LAST"
1600,SELECT Id FROM Contact GROUP BY Department
1601,"SELECT NumberOfEmployees,BillingState FROM Account"
1602,"SELECT FirstName,Country FROM Lead ORDER BY Rating NULLS LAST"
1603,"SELECT Id,Department FROM Contact ORDER BY LastName NULLS LAST"
1604,"SELECT Quantity,ContactId FROM Asset ORDER BY Price DESC"
1605,"SELECT FirstName,MobilePhone FROM Lead ORDER BY LastName DESC"
1606,"SELECT Id,IsPersonAccount FROM Account GROUP BY BillingCountry"
1607,"SELECT OrderedDate,Id FROM Order ORDER BY TotalAmount DESC"
1608,"SELECT AccountId,Name FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1609,"SELECT IsActive,JobFamily__c FROM User"
1610,"SELECT Rating,FirstName FROM Lead GROUP BY State"
1611,"SELECT Division,MiddleName FROM User ORDER BY Name NULLS LAST"
1612,"SELECT Username,EmployeeNumber FROM User GROUP BY City"
1613,SELECT Type FROM Order GROUP BY Status
1614,SELECT Description FROM Account GROUP BY BillingCity
1615,"SELECT Id,Phone FROM Lead ORDER BY FirstName DESC NULLS LAST"
1616,"SELECT Status,BillingPhoneNumber FROM Order ORDER BY Name"
1617,"SELECT LeadSource,FirstName FROM Contact ORDER BY Name DESC"
1618,"SELECT SerialNumber,Id FROM Asset ORDER BY Price DESC NULLS LAST"
1619,"SELECT Id,MobilePhone FROM Lead GROUP BY City"
1620,"SELECT Type,Industry FROM Account ORDER BY NumberOfEmployees DESC"
1621,"SELECT CaseNumber,AccountId FROM Case ORDER BY ClosedDate NULLS LAST"
1622,"SELECT Industry,Name FROM Account ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1623,"SELECT Name,AccountId FROM Asset ORDER BY Price DESC"
1624,"SELECT IsPersonAccount,BillingCity FROM Account ORDER BY Name NULLS LAST"
1625,"SELECT FiscalYear,Type FROM Opportunity ORDER BY Name"
1626,"SELECT IsConverted,NumberOfEmployees FROM Lead GROUP BY City"
1627,"SELECT Price,Quantity FROM Asset ORDER BY Quantity DESC"
1628,"SELECT FirstName,MobilePhone FROM Lead ORDER BY AnnualRevenue"
1629,"SELECT NextStep,OwnerId FROM Opportunity ORDER BY Name DESC"
1630,"SELECT Status,ContactId FROM Asset ORDER BY Name DESC"
1631,"SELECT MiddleName,Email FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1632,"SELECT BillingCountry,AccountId FROM Order ORDER BY OrderedDate DESC NULLS LAST"
1633,"SELECT Name,ShippingCountry FROM Order ORDER BY Name DESC"
1634,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY Rating DESC"
1635,"SELECT State,IsConverted FROM Lead ORDER BY FirstName"
1636,"SELECT FiscalYear,Type FROM Opportunity ORDER BY LeadSource"
1637,"SELECT AnnualRevenue,AnnualRevenue,AnnualRevenue FROM Account"
1638,SELECT Origin FROM Case
1639,"SELECT Description,Department FROM Contact GROUP BY Department"
1640,"SELECT NumberOfEmployees,BillingCountry FROM Account ORDER BY Name"
1641,"SELECT Quantity,Name FROM Asset"
1642,"SELECT Name,DeveloperName,Name FROM Document"
1643,"SELECT IsPersonAccount,LastName FROM Contact ORDER BY LastName DESC NULLS LAST"
1644,"SELECT MiddleName,Phone FROM Lead ORDER BY Name NULLS LAST"
1645,"SELECT ContactId,SerialNumber FROM Asset ORDER BY Quantity DESC"
1646,"SELECT AnnualRevenue,IsPersonAccount FROM Account ORDER BY NumberOfEmployees DESC"
1647,"SELECT Name,LeadSource FROM Opportunity ORDER BY Name NULLS LAST"
1648,"SELECT Name,AnnualRevenue FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST"
1649,"SELECT State,MobilePhone FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1650,"SELECT Id,IsClosed FROM Case ORDER BY ClosedDate DESC"
1651,"SELECT Id,Description FROM Asset ORDER BY Quantity"
1652,"SELECT ShippingCity,ShippingCity FROM Order ORDER BY GrandTotalAmount NULLS LAST"
1653,"SELECT MiddleName,Phone FROM Lead ORDER BY LastName NULLS LAST"
1654,SELECT Description FROM Order GROUP BY BillingState
1655,"SELECT Company,MobilePhone FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
1656,"SELECT EndDate,Description FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST LIMIT 1"
1657,SELECT NumberOfEmployees FROM Account GROUP BY BillingState
1658,"SELECT LeadSource,Type FROM Opportunity ORDER BY LeadSource"
1659,"SELECT Industry,Name FROM Account ORDER BY NumberOfEmployees"
1660,"SELECT Id,AccountId FROM Opportunity ORDER BY Probability NULLS LAST"
1661,"SELECT ContactEmail,Status FROM Case ORDER BY ClosedDate NULLS LAST"
1662,"SELECT HasOpenActivity,FiscalYear FROM Opportunity ORDER BY Amount"
1663,"SELECT HasOpenActivity,Probability FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1664,"SELECT IsClosed,FiscalYear FROM Opportunity ORDER BY LeadSource DESC"
1665,"SELECT Id,ContentType FROM Document ORDER BY Name DESC"
1666,"SELECT Type,OwnerId FROM Order ORDER BY OrderedDate"
1667,"SELECT Industry,Name FROM Account ORDER BY AnnualRevenue DESC"
1668,"SELECT LeadSource,Type FROM Opportunity ORDER BY Probability NULLS LAST LIMIT 1"
1669,"SELECT Name,AccountId FROM Contact ORDER BY LastName"
1670,"SELECT Region__c,Business_Unit__c FROM User GROUP BY JobFamily__c"
1671,"SELECT HasOpenActivity,Probability FROM Opportunity ORDER BY Name"
1672,SELECT Id FROM Lead GROUP BY State
1673,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY Probability"
1674,SELECT org62_Chatter_Link__c FROM User
1675,"SELECT Email,LastName FROM Lead GROUP BY City"
1676,"SELECT Division,State FROM User ORDER BY Department DESC"
1677,"SELECT Company,Status FROM Lead GROUP BY State"
1678,"SELECT OwnerId,BillingCity FROM Order ORDER BY TotalAmount DESC NULLS LAST"
1679,"SELECT Quantity,Name FROM Asset ORDER BY SerialNumber NULLS LAST"
1680,"SELECT AuthorId,Id FROM Document GROUP BY Type"
1681,"SELECT Quantity,AccountId FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
1682,"SELECT ShippingState,Description FROM Order ORDER BY GrandTotalAmount NULLS LAST"
1683,"SELECT Name,ShippingCountry FROM Order ORDER BY GrandTotalAmount NULLS LAST"
1684,"SELECT Department,Phone FROM Contact ORDER BY LastName DESC NULLS LAST"
1685,"SELECT AccountId,FiscalQuarter FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
1686,"SELECT Id,Description FROM Asset ORDER BY SerialNumber"
1687,"SELECT Email,Department FROM Contact ORDER BY LeadSource"
1688,"SELECT Ownership,Website FROM Account GROUP BY Type"
1689,"SELECT MiddleName,Description FROM Lead ORDER BY FirstName DESC"
1690,"SELECT AccountId,HasOpenActivity FROM Opportunity ORDER BY LeadSource"
1691,"SELECT AccountId,AccountId FROM Order GROUP BY BillingState"
1692,"SELECT BillingCity,Type FROM Order ORDER BY Name NULLS LAST"
1693,"SELECT ContactId,Status FROM Asset ORDER BY Quantity DESC NULLS LAST LIMIT 1"
1694,"SELECT Id,Phone FROM Lead GROUP BY Country"
1695,"SELECT Rating,FirstName FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1696,"SELECT Description,BillingStreet FROM Account ORDER BY Name"
1697,"SELECT NumberOfEmployees,BillingState FROM Account GROUP BY BillingCity"
1698,SELECT Id FROM Lead GROUP BY Status
1699,SELECT Division FROM User GROUP BY Department
1700,"SELECT Id,BillingCountry FROM Order ORDER BY TotalAmount DESC NULLS LAST LIMIT 1"
1701,"SELECT MiddleName,Email FROM Lead ORDER BY LastName DESC"
1702,"SELECT AccountId,City FROM User ORDER BY Department DESC NULLS LAST"
1703,"SELECT BillingStreet,AccountNumber FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
1704,SELECT CompanyName FROM User GROUP BY City
1705,"SELECT ContentType,Body,ContentType FROM Document"
1706,"SELECT AboutMe,UserRoleId FROM User ORDER BY Name"
1707,"SELECT EmployeeNumber,IsActive,EmployeeNumber FROM User"
1708,SELECT BillingState FROM Order GROUP BY BillingCity
1709,"SELECT ManagerId,Business_Unit__c FROM User GROUP BY Business_Unit__c"
1710,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY Probability NULLS LAST"
1711,"SELECT Status,ContactId FROM Case ORDER BY ClosedDate DESC"
1712,"SELECT Price,Name FROM Asset ORDER BY Price DESC NULLS LAST"
1713,"SELECT FirstName,Email FROM User ORDER BY FirstName DESC NULLS LAST"
1714,"SELECT Region__c,Business_Unit__c FROM User GROUP BY State"
1715,"SELECT ContactId,Status FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
1716,SELECT AccountId FROM Asset GROUP BY Status
1717,"SELECT Name,SerialNumber FROM Asset ORDER BY SerialNumber"
1718,"SELECT Rating,State FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
1719,"SELECT OwnerId,ClosedDate FROM Case GROUP BY Type"
1720,"SELECT Status,AccountId FROM Case GROUP BY Type"
1721,"SELECT Id,FirstName,Id FROM Lead"
1722,"SELECT Department,Phone FROM Contact ORDER BY Department NULLS LAST"
1723,"SELECT Id,Quantity FROM Asset ORDER BY Quantity DESC NULLS LAST"
1724,"SELECT org62_Chatter_Link__c,CompanyName FROM User GROUP BY Division"
1725,"SELECT BillingCountry,AccountNumber FROM Account ORDER BY NumberOfEmployees"
1726,"SELECT Country,MiddleName FROM Lead ORDER BY LastName DESC NULLS LAST"
1727,"SELECT Department,EmployeeNumber FROM User ORDER BY LastName DESC"
1728,"SELECT Comments,ContactId FROM Case ORDER BY ClosedDate DESC NULLS LAST"
1729,"SELECT Id,MiddleName FROM Contact ORDER BY LeadSource DESC"
1730,"SELECT Email,City FROM User ORDER BY Department"
1731,"SELECT Company,Status FROM Lead ORDER BY FirstName NULLS LAST"
1732,"SELECT Department,Department FROM Contact ORDER BY Department DESC"
1733,"SELECT Id,Type FROM Opportunity"
1734,"SELECT Id,Name,Id FROM Contact"
1735,SELECT Type FROM Order GROUP BY BillingState
1736,"SELECT Description,Id FROM Contact ORDER BY LastName DESC"
1737,"SELECT Status,Description FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
1738,SELECT Type FROM Order GROUP BY Type
1739,"SELECT Department,AccountId FROM Contact ORDER BY LeadSource DESC"
1740,"SELECT AccountId,Name FROM Contact ORDER BY Department DESC NULLS LAST"
1741,"SELECT AccountId,CaseNumber FROM Case GROUP BY Status"
1742,"SELECT AssetLevel,Description FROM Asset ORDER BY Quantity DESC NULLS LAST"
1743,"SELECT MobilePhone,Email FROM Lead ORDER BY LeadSource"
1744,"SELECT BillingCountry,TotalAmount FROM Order GROUP BY Status"
1745,"SELECT FirstName,Rating FROM Lead ORDER BY LeadSource DESC NULLS LAST"
1746,"SELECT IsPersonAccount,MiddleName FROM Contact ORDER BY LeadSource"
1747,"SELECT Email,AccountId FROM Contact ORDER BY Name DESC"
1748,"SELECT LastName,Rating FROM Lead ORDER BY NumberOfEmployees DESC"
1749,"SELECT Status,Description FROM Asset ORDER BY Quantity DESC NULLS LAST"
1750,"SELECT Email,Rating FROM Lead GROUP BY Rating"
1751,"SELECT FiscalYear,ContactId FROM Opportunity ORDER BY Amount DESC NULLS LAST"
1752,"SELECT BillingCountry,BillingCity FROM Order ORDER BY Name DESC"
1753,"SELECT AnnualRevenue,AnnualRevenue,AnnualRevenue FROM Lead"
1754,"SELECT Description,HasOpenActivity FROM Opportunity ORDER BY Amount NULLS LAST"
1755,"SELECT Rating,State FROM Lead GROUP BY City"
1756,"SELECT Id,ContactId FROM Opportunity ORDER BY Probability DESC NULLS LAST"
1757,"SELECT Status,ContactId FROM Asset ORDER BY Quantity NULLS LAST LIMIT 1"
1758,"SELECT Division,JobProfile__c FROM User ORDER BY LastName NULLS LAST"
1759,"SELECT Department,EmployeeNumber FROM User GROUP BY JobFamily__c"
1760,"SELECT Price,SerialNumber FROM Asset ORDER BY Name NULLS LAST"
1761,"SELECT FirstName,Rating FROM Lead ORDER BY FirstName DESC NULLS LAST"
1762,"SELECT Name,ContactId FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
1763,SELECT CompanyName FROM User GROUP BY State
1764,"SELECT Name,ShippingCountry FROM Order GROUP BY BillingState"
1765,"SELECT Name,Industry FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
1766,"SELECT TotalAmount,AccountId FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
1767,"SELECT State,EmployeeNumber FROM User GROUP BY Department"
1768,"SELECT SerialNumber,Description FROM Asset ORDER BY SerialNumber DESC"
1769,"SELECT AccountId,TotalAmount FROM Order GROUP BY Type"
1770,SELECT Id FROM User GROUP BY City
1771,"SELECT LastName,FirstName FROM Contact ORDER BY LastName DESC"
1772,"SELECT Description,HasOpenActivity FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
1773,"SELECT FirstName,EmployeeNumber FROM User ORDER BY Name NULLS LAST"
1774,"SELECT LastName,CompanyName FROM User ORDER BY Department DESC"
1775,"SELECT Url,Keywords FROM Document ORDER BY Name DESC NULLS LAST"
1776,"SELECT IsActive,JobFamily__c FROM User ORDER BY FirstName NULLS LAST"
1777,"SELECT Status,Reason FROM Case ORDER BY ClosedDate DESC"
1778,"SELECT GrandTotalAmount,BillingState FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
1779,"SELECT Department,Phone FROM Contact ORDER BY FirstName NULLS LAST"
1780,"SELECT Name,LastName FROM Contact ORDER BY LastName"
1781,"SELECT Id,Name FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST"
1782,"SELECT EmployeeNumber,FirstName FROM User GROUP BY Country"
1783,"SELECT Email,UserType FROM User ORDER BY Name NULLS LAST"
1784,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY Name NULLS LAST"
1785,SELECT IsConverted FROM Lead GROUP BY State
1786,"SELECT Origin,OwnerId FROM Case ORDER BY ClosedDate DESC"
1787,"SELECT Business_Unit__c,Email FROM User ORDER BY LastName DESC"
1788,"SELECT Quantity,ContactId FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
1789,"SELECT Email,Name FROM Contact ORDER BY Name"
1790,"SELECT ShippingCountry,Name FROM Order GROUP BY Status"
1791,"SELECT Id,State FROM Lead ORDER BY AnnualRevenue"
1792,"SELECT Department,EmployeeNumber FROM User GROUP BY Country"
1793,"SELECT Division,State FROM User GROUP BY Business_Unit__c"
1794,"SELECT AboutMe,Department FROM User ORDER BY Department NULLS LAST"
1795,"SELECT NextStep,LeadSource FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
1796,"SELECT MobilePhone,Country FROM Lead GROUP BY Status"
1797,SELECT Name FROM User
1798,"SELECT FirstName,AboutMe,FirstName FROM User"
1799,"SELECT FirstName,Department,FirstName FROM Contact"
1800,"SELECT Email,Email FROM Contact ORDER BY LeadSource NULLS LAST"
1801,"SELECT AccountId,Name FROM Opportunity ORDER BY Amount NULLS LAST"
1802,"SELECT StageName,Id FROM Opportunity"
1803,"SELECT IsPersonAccount,Ownership FROM Account ORDER BY AnnualRevenue"
1804,"SELECT LastName,CompanyName FROM User ORDER BY FirstName NULLS LAST"
1805,"SELECT Email,City FROM User GROUP BY JobFamily__c"
1806,"SELECT Industry,BillingStreet FROM Account GROUP BY BillingCity"
1807,"SELECT IsClosed,Probability FROM Opportunity"
1808,"SELECT State,IsConverted FROM Lead ORDER BY LeadSource NULLS LAST"
1809,"SELECT Description,AssetLevel FROM Asset ORDER BY Price NULLS LAST"
1810,"SELECT Id,LeadSource FROM Opportunity ORDER BY Name DESC NULLS LAST"
1811,"SELECT ShippingCountry,EndDate FROM Order ORDER BY GrandTotalAmount"
1812,"SELECT Id,Id FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
1813,"SELECT NumberOfEmployees,BillingState FROM Account ORDER BY AnnualRevenue"
1814,"SELECT FirstName,org62_Chatter_Link__c FROM User ORDER BY Name NULLS LAST"
1815,"SELECT ContactId,Reason FROM Case"
1816,SELECT JobFamily__c FROM User GROUP BY State
1817,"SELECT ContactId,ContactId FROM Opportunity ORDER BY Name DESC NULLS LAST"
1818,"SELECT LeadSource,FirstName FROM Contact ORDER BY FirstName DESC NULLS LAST"
1819,"SELECT AssetLevel,Status FROM Asset GROUP BY Status"
1820,"SELECT Id,AnnualRevenue FROM Lead ORDER BY FirstName DESC"
1821,"SELECT Type,BillingPostalCode FROM Account ORDER BY Name"
1822,SELECT ContactId FROM Case
1823,"SELECT Department,LastName FROM User ORDER BY Name DESC NULLS LAST"
1824,"SELECT Description,ContactId FROM Asset ORDER BY SerialNumber DESC"
1825,"SELECT Id,Name FROM Lead GROUP BY Status"
1826,"SELECT ContactId,Price FROM Asset GROUP BY AssetLevel"
1827,"SELECT Price,Id FROM Asset ORDER BY SerialNumber DESC"
1828,SELECT IsPublic FROM Document
1829,"SELECT FirstName,MobilePhone FROM Lead GROUP BY City"
1830,"SELECT SerialNumber,Description FROM Asset ORDER BY Quantity"
1831,"SELECT LeadSource,LeadSource FROM Contact ORDER BY Name DESC NULLS LAST"
1832,"SELECT BillingState,Description FROM Account ORDER BY Name DESC NULLS LAST"
1833,"SELECT Description,HasOpenActivity FROM Opportunity ORDER BY Probability DESC NULLS LAST"
1834,"SELECT SerialNumber,SerialNumber,SerialNumber FROM Asset"
1835,"SELECT State,Country FROM Lead ORDER BY Name DESC"
1836,"SELECT Name,ContactId FROM Opportunity ORDER BY LeadSource DESC"
1837,"SELECT OwnerId,ShippingCountry FROM Order GROUP BY BillingCity"
1838,"SELECT Description,EndDate FROM Order GROUP BY Type"
1839,"SELECT Price,Quantity FROM Asset ORDER BY Quantity NULLS LAST"
1840,"SELECT Id,BillingCountry FROM Order ORDER BY Name DESC NULLS LAST"
